|         535 |   65 | Male   | Gloves         | Accessories |              72 | Florida        | L    | Pink      | Fall   |           4.5 | Yes      | Next Day Air   | Yes              |                  4 | PayPal         | Quarterly              | Senior      |                      90 |
|         536 |   56 | Male   | T-shirt        | Clothing    |              45 | West Virginia  | L    | Maroon    | Spring |           3.2 | Yes      | Free Shipping  | Yes              |                 24 | Bank Transfer  | Weekly                 | Middle-Aged |                       7 |
|         537 |   44 | Male   | Jacket         | Outerwear   |              84 | Illinois       | S    | Maroon    | Fall   |           4.4 | Yes      | Store Pickup   | Yes              |                 16 | Debit Card     | Every 3 Months         | Adult       |                      90 |
|         538 |   50 | Male   | Blouse         | Clothing    |              49 | Virginia       | S    | Turquoise | Summer |             3 | Yes      | Store Pickup   | Yes              |                 14 | Debit Card     | Annually               | Middle-Aged |                     365 |
|         539 |   27 | Male   | Socks          | Clothing    |              22 | Virginia       | XL   | Green     | Spring |           3.2 | Yes      | Free Shipping  | Yes              |                 43 | Cash           | Weekly                 | Young Adult |                       7 |
|         540 |   49 | Male   | Coat           | Outerwear   |              48 | Wyoming        | M    | Violet    | Winter |             4 | Yes      | Store Pickup   | Yes              |                 49 | Debit Card     | Weekly                 | Middle-Aged |                       7 |
|         541 |   49 | Male   | Dress          | Clothing    |              37 | South Carolina | M    | Lavender  | Spring |           3.1 | Yes      | Next Day Air   | Yes              |                 33 | Cash           | Every 3 Months         | Middle-Aged |                      90 |
|         542 |   52 | Male   | Jacket         | Outerwear   |              27 | Connecticut    | L    | Gray      | Fall   |           2.8 | Yes      | Next Day Air   | Yes              |                 45 | Cash           | Bi-Weekly              | Middle-Aged |                      14 |
|         543 |   27 | Male   | Boots          | Footwear    |              79 | Illinois       | XL   | Teal      | Spring |           4.6 | Yes      | Next Day Air   | Yes              |                 35 | Cash           | Bi-Weekly              | Young Adult |                      14 |
|         544 |   53 | Male   | Skirt          | Clothing    |              98 | Alabama        | S    | Red       | Spring |           4.3 | Yes      | Express        | Yes              |                 11 | Credit Card    | Monthly                | Middle-Aged |                      30 |
|         545 |   34 | Male   | Sandals        | Footwear    |              64 | Washington     | S    | Yellow    | Summer |           3.3 | Yes      | Standard       | Yes              |                 30 | Bank Transfer  | Every 3 Months         | Adult       |                      90 |
|         546 |   33 | Male   | Coat           | Outerwear   |              32 | Alabama        | L    | Magenta   | Summer |           3.5 | Yes      | 2-Day Shipping | Yes              |                 48 | Debit Card     | Annually               | Adult       |                     365 |
|         547 |   62 | Male   | Hoodie         | Clothing    |              74 | New Mexico     | M    | Brown     | Winter |           3.4 | Yes      | Free Shipping  | Yes              |                 45 | Venmo          | Bi-Weekly              | Senior      |                      14 |
|         548 |   38 | Male   | Jacket         | Outerwear   |              50 | Nevada         | M    | Blue      | Winter |           2.8 | Yes      | Free Shipping  | Yes              |                 26 | Venmo          | Weekly                 | Adult       |                       7 |
|         549 |   36 | Male   | Backpack       | Accessories |              64 | Nebraska       | M    | Black     | Winter |           4.6 | Yes      | Store Pickup   | Yes              |                 41 | Debit Card     | Every 3 Months         | Adult       |                      90 |
|         550 |   31 | Male   | Backpack       | Accessories |              29 | Arizona        | S    | Olive     | Fall   |           3.6 | Yes      | Express        | Yes              |                 37 | Venmo          | Bi-Weekly              | Young Adult |                      14 |
|         551 |   62 | Male   | Belt           | Accessories |              62 | Georgia        | M    | Olive     | Summer |           3.3 | Yes      | Store Pickup   | Yes              |                 12 | PayPal         | Weekly                 | Senior      |                       7 |
|         552 |   29 | Male   | Coat           | Outerwear   |              78 | Idaho          | XL   | Green     | Fall   |           3.1 | Yes      | 2-Day Shipping | Yes              |                 27 | Cash           | Bi-Weekly              | Young Adult |                      14 |
|         553 |   24 | Male   | T-shirt        | Clothing    |              94 | Missouri       | M    | Peach     | Fall   |           3.5 | Yes      | Express        | Yes              |                 18 | Bank Transfer  | Weekly                 | Young Adult |                       7 |
|         554 |   63 | Male   | Sunglasses     | Accessories |              59 | Florida        | M    | White     | Winter |           3.2 | Yes      | Express        | Yes              |                 15 | Credit Card    | Quarterly              | Senior      |                      90 |
|         555 |   56 | Male   | Sneakers       | Footwear    |              47 | Minnesota      | M    | Red       | Summer |             3 | Yes      | Express        | Yes              |                 34 | Bank Transfer  | Weekly                 | Middle-Aged |                       7 |
|         556 |   63 | Male   | Gloves         | Accessories |              57 | Maine          | M    | White     | Fall   |           4.8 | Yes      | Express        | Yes              |                 37 | Venmo          | Annually               | Senior      |                     365 |
|         557 |   40 | Male   | Coat           | Outerwear   |              90 | Montana        | L    | Indigo    | Winter |             5 | Yes      | Store Pickup   | Yes              |                 21 | Cash           | Fortnightly            | Adult       |                      14 |
|         558 |   18 | Male   | Shirt          | Clothing    |              60 | Alaska         | M    | White     | Spring |           2.9 | Yes      | Free Shipping  | Yes              |                 31 | Debit Card     | Weekly                 | Young Adult |                       7 |
|         559 |   50 | Male   | Sneakers       | Footwear    |              77 | Iowa           | L    | Teal      | Fall   |           3.2 | Yes      | Express        | Yes              |                 43 | Debit Card     | Every 3 Months         | Middle-Aged |                      90 |
|         560 |   66 | Male   | Scarf          | Accessories |              41 | Arizona        | M    | Indigo    | Fall   |           2.9 | Yes      | Store Pickup   | Yes              |                 22 | Bank Transfer  | Monthly                | Senior      |                      30 |
|         561 |   25 | Male   | Jewelry        | Accessories |              48 | Louisiana      | L    | Red       | Fall   |           3.3 | Yes      | Free Shipping  | Yes              |                 12 | Debit Card     | Annually               | Young Adult |                     365 |
|         562 |   65 | Male   | Jacket         | Outerwear   |              65 | Alabama        | M    | Blue      | Fall   |           2.6 | Yes      | Next Day Air   | Yes              |                 25 | PayPal         | Fortnightly            | Senior      |                      14 |
|         563 |   53 | Male   | Jeans          | Clothing    |              62 | Missouri       | M    | Blue      | Summer |           3.5 | Yes      | Standard       | Yes              |                 40 | Debit Card     | Annually               | Middle-Aged |                     365 |
|         564 |   61 | Male   | Shoes          | Footwear    |              99 | Idaho          | M    | Black     | Fall   |           4.4 | Yes      | Standard       | Yes              |                 16 | Debit Card     | Quarterly              | Senior      |                      90 |
|         565 |   67 | Male   | Hoodie         | Clothing    |              58 | Florida        | M    | Olive     | Winter |           3.4 | Yes      | Next Day Air   | Yes              |                 30 | Bank Transfer  | Weekly                 | Senior      |                       7 |
|         566 |   59 | Male   | Backpack       | Accessories |              43 | Idaho          | L    | Lavender  | Fall   |           4.2 | Yes      | Store Pickup   | Yes              |                 10 | Venmo          | Weekly                 | Senior      |                       7 |
|         567 |   55 | Male   | Sneakers       | Footwear    |              93 | Alabama        | M    | Indigo    | Spring |           3.6 | Yes      | Store Pickup   | Yes              |                  1 | Debit Card     | Fortnightly            | Middle-Aged |                      14 |
|         568 |   21 | Male   | Blouse         | Clothing    |              50 | New Hampshire  | S    | Red       | Winter |             3 | Yes      | Next Day Air   | Yes              |                 24 | Venmo          | Fortnightly            | Young Adult |                      14 |
|         569 |   44 | Male   | Pants          | Clothing    |              88 | Utah           | L    | Red       | Summer |             4 | Yes      | Free Shipping  | Yes              |                 36 | PayPal         | Monthly                | Adult       |                      30 |
|         570 |   65 | Male   | Skirt          | Clothing    |              33 | Alabama        | M    | Pink      | Fall   |           4.4 | Yes      | Express        | Yes              |                 46 | Credit Card    | Every 3 Months         | Senior      |                      90 |
|         571 |   65 | Male   | T-shirt        | Clothing    |              99 | Iowa           | XL   | Purple    | Fall   |           4.1 | Yes      | Standard       | Yes              |                 20 | Cash           | Annually               | Senior      |                     365 |
|         572 |   54 | Male   | Jacket         | Outerwear   |              76 | Kentucky       | XL   | Cyan      | Spring |           3.6 | Yes      | Free Shipping  | Yes              |                 37 | Venmo          | Weekly                 | Middle-Aged |                       7 |
|         573 |   56 | Male   | Scarf          | Accessories |              97 | South Carolina | XL   | Cyan      | Summer |           4.6 | Yes      | Next Day Air   | Yes              |                 26 | Bank Transfer  | Annually               | Middle-Aged |                     365 |
|         574 |   58 | Male   | Pants          | Clothing    |              68 | California     | M    | Charcoal  | Summer |           3.2 | Yes      | 2-Day Shipping | Yes              |                 23 | Credit Card    | Bi-Weekly              | Senior      |                      14 |
|         575 |   54 | Male   | Sneakers       | Footwear    |              79 | Maine          | L    | Red       | Fall   |           4.8 | Yes      | Free Shipping  | Yes              |                 20 | Bank Transfer  | Bi-Weekly              | Middle-Aged |                      14 |
|         576 |   58 | Male   | Jeans          | Clothing    |              86 | Nebraska       | M    | Peach     | Fall   |           4.8 | Yes      | Express        | Yes              |                 38 | PayPal         | Monthly                | Senior      |                      30 |
|         577 |   48 | Male   | Hat            | Accessories |              68 | Washington     | M    | Black     | Winter |             5 | Yes      | 2-Day Shipping | Yes              |                  5 | Credit Card    | Every 3 Months         | Middle-Aged |                      90 |
